2025-12-04 16:15:48,Digital Business,3
2025-12-04 16:24:28,Principles of Management,3
2025-12-04 16:24:28,Digital Business,3
2025-12-04 16:24:49,Digital Business,5
2025-12-04 16:27:10,Principles of Management,1
2025-12-04 16:27:10,Digital Business,1
2025-12-04 16:33:30,Principles of Management,3
2025-12-04 16:33:30,Digital Business,3
5,Digital Business,17:53:43,2025-12-04
2,Principles of Management,13:36:03,2025-12-10
2,Digital Business,13:36:03,2025-12-10
3,Digital Business,13:40:01,2025-12-10
3,Digital Business,13:40:08,2025-12-10
3,Digital Business,13:40:11,2025-12-10
3,Digital Business,13:40:14,2025-12-10
3,Digital Business,13:44:56,2025-12-10
3,Digital Business,13:45:00,2025-12-10
1,Digital Business,14:05:45,2025-12-10
2,Principles of Management,14:06:05,2025-12-10
4,Digital Business,14:06:45,2025-12-10
1,Principles of Management,14:07:43,2025-12-10
0,Digital Business,14:07:49,2025-12-10
3/10 (30%),Principles of Management,14:19:36,2025-12-10
